RunId,iteration,Step,width,height,seed,authority,authority_density,Mean Knowledge,Mean Behavior,Net Health Belief
3,0,67,50,50,0,False,0.25,3.6997510162236904,0.5608,0.1199367714258752
3,0,68,50,50,0,False,0.25,3.83879101622369,0.5608,0.12148838228256903
3,0,69,50,50,0,False,0.25,3.93823101622369,0.56,0.12177647568872162
3,0,70,50,50,0,False,0.25,4.09183101622369,0.5596,0.1215125347518404
3,0,71,50,50,0,False,0.25,4.230311016223689,0.5604,0.12137747985477533
3,0,72,50,50,0,False,0.25,4.36923101622369,0.5612,0.12152580498123475
3,0,73,50,50,0,False,0.25,4.483791016223691,0.5608,0.12142073434512013
3,0,74,50,50,0,False,0.25,4.6287910162236905,0.5612,0.12157044752161646
3,0,75,50,50,0,False,0.25,4.727431016223691,0.5604,0.12176259362102217
3,0,76,50,50,0,False,0.25,4.83919101622369,0.56,0.1220261593857372
